luminary,star; light-giving body
boisterous,noisy; restraint
cordial,warm and sincere
refine,make or become pure cultural
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
renovate,restore something to better condition
beguile,mislead or delude; cheat; pass time
clot,half-solid lump formed from liquid
shallow,little depth; not earnest
infuriate,fill with fury or rage
bewilder,puzzle; confuse
catalyst,substance that causes speeding up
flimsy,lacking solidarity, strength"
odor,smell
flop,fail/move/fall clumsily
edify,instruct; correct morally
implicit,implied though; not plainly expressed
satiate,satisfy fully
volatile,changeable inconstant fickle unstable explosive
allegiance,duty support loyalty
amalgamate,mix; combine; unite societies
stray,wander lose one's way
dwarf,person much smaller the usual size
benefactor,person who has given help
commuter,person who travels regularly
grumble,to complain
adulteration,making unpure; poorer in quality
chisel,steel tool for shaping materials
aberration,straying away from what is normal
Lambaste,attack verbally
ail,to cause pain, uneasiness, or trouble to."
malleable,yielding easily shaped; moldable; adapting
apartheid,brutal racial discrimination
disproof,proof to the contrary
yarn,tale story fibers for knitting
euphoria,elation state of pleasant excitement
elaborate,worked out with much care in great detail
permeate,spread into every part of
impromptu,without preparation
dislodge,move force from the place occupied
sheath,cover for the blade of a weapon or a tool
enzyme,catalyst
sponge,porous rubber for washing live at once expense
extinct,no longer active
defer,postpone
unscathed,unharmed unhurt
ingest,take in by swallowing
invincible,too strong to be defeated
repulsive,causing a feeling of disgust
ambiguous,doubtful; uncertain
inclined,directing the mind in a certain direction
foolproof,incapable of failure or error
sophisticated,complex; subtle; refined
fragile,easily injured broken or destroyed
abscond,to go away suddenly (to avoid arrest)
pluck,pull the feathers off pick (e.g.. flowers)
moribund,in a dying state; near death
malevolent,malicious; evil; having or showing ill will
disrobe,undress
connoisseur,a person with good judgement (e.g.. in art)
dormant,in a state of inactivity but awaiting development
immutable,that cannot be changed
knit,draw together; unite firmly
weigh,measure how heavy something is
dullard,a stupid, insensitive person"
negligent,taking too little care
affable,polite and friendly
apt,well-suited; quick-witted
divergence,getting farther apart from a point
fidelity,loyalty accuracy
alloy,to debase by mixing with something inferior
lampoon,publicly mock or ridicule
correlate,have a mutual relation
rejuvenation,becoming young in nature or appearance
massacre,cruel killing of a large number of people
indigenous,native
succumb,yield, die"
plea,request
jabber,talk excitedly; utter rapidly
redeem,get back by payment compensate
acumen,Keen, quick, accurate insight or judgment"
riddle,puzzling person or thing
vigorous,strong energetic
abide,be faithful; to endure
evasive,tending to evade
relapse,fall back again
steeply,rising or falling sharply
abysmal,extreme bad
scent,smell (especially pleasant)
console,give comfort or sympathy to
agile,active; quick-moving
aggravate,make worse; irritate
tadpole,form of a frog when it leaves the egg
somersault,rolling backward or forward (not sideways) movement
pilferer,to steal, especially in small quantities"
strive,to make great efforts, to struggle"
forgery,counterfeit
offhand,Without preparation or forethought
arrogance,proud; superior manner of behaviour
livid,Furiously angry, enraged"
hospitable,liking to give hospitality
shard,A piece of broken pottery
chortle,loud chuckle of pleasure or amusement
sobriety,quality or condition of being sober
timid,shy easily frightened
suffice,be enough
adorn,add beauty; decorate
meticulous,giving great attention to details
accolade,praise; approval
buoyant,able to float; light-hearted
opaqueness,dullness/not allowing light to pass through
acclaimed,welcomed with shouts and approval
yeoman,man owning small estate; middle-class farmer
abstruse,difficult to comprehend; obscure
sluggard,lazy slow-moving person
parenthesis,sentence within another one something separated
clientele,customers
stride,walk with long steps
surcharge,additional load/charge
braggart,boastful
tonic,something giving strength or energy
extralegal,outside the law
commemorate,keep the memory of
sanction,approval (by authority) penalty
narcissism,Self-love
erratic,irregular in behaviour or opinion
ambivalent,having both of two contrary meanings
articulate,speak distinctly; connect by joints
connote,Suggest or imply in addition to the precise, literal meaning"
gait,a manner of walking, stepping, or running"
alleviate,make (pain) easier to bear
patron,regular customer person who gives support
pivotal,of great importance (others depend on it)
turbulence,being uncontrollably violent
ascend,go or come up
incongruous,out of place; not in harmony or agreement
antidote,medicine used against a poison or a disease
moderation,quality of being limited; not extreme
treacherous,not to be trusted, perfidious"
scribble,write hastily
torque,twisting force causing rotation
cryptic,secret with a hidden meaning
